,Rank,isIP,isValid,Domain_reg_len,is@,isRedirect,haveDash,SubDomain,Domain_http,LongURL,TinyURL,Label
421,1,0,0,1,0,0,0,0,0,0,0,0
422,0,0,1,0,0,0,0,1,0,0,0,0
423,1,0,1,0,0,0,0,0,0,0,0,0
424,1,0,1,0,0,0,0,1,0,1,0,1
425,1,0,1,0,0,0,0,1,0,1,0,1
426,0,0,1,0,0,0,0,1,0,1,0,0
427,1,0,0,1,0,0,0,1,0,1,0,1
428,0,0,1,0,0,0,0,0,0,0,0,0
429,1,0,0,1,0,0,0,0,0,1,0,0
430,0,0,0,1,0,0,0,1,0,0,0,0
431,1,0,1,0,0,0,0,1,0,0,0,0
432,0,0,1,0,0,0,0,0,0,1,1,0
433,0,0,1,0,0,0,0,0,0,0,0,0
434,1,0,1,0,0,0,0,0,0,0,0,1
435,0,0,1,0,0,0,0,0,0,0,1,0
436,1,0,1,0,0,0,0,0,0,1,0,1
437,0,0,1,0,0,0,0,0,0,0,1,1
438,1,0,0,1,0,0,0,1,0,1,0,1
439,1,0,1,0,0,0,0,1,0,0,0,1
440,1,0,1,0,0,0,1,1,0,1,0,1
441,1,0,0,1,0,0,1,1,0,0,0,1
442,1,0,0,1,0,0,0,0,0,1,0,1
443,0,0,0,1,0,0,0,0,0,0,0,0
444,1,0,1,0,0,0,0,0,0,1,0,1
445,1,0,0,1,0,0,0,0,0,1,0,1
446,0,0,1,0,0,0,0,1,0,0,0,0
447,0,0,1,0,0,0,0,0,0,0,0,0
448,0,0,1,0,0,0,0,0,0,0,0,0
449,1,0,1,0,0,0,0,1,0,1,0,1
450,1,0,0,1,0,0,0,0,0,1,0,1
451,0,0,1,0,0,0,1,1,0,1,0,1
452,1,0,1,0,0,0,0,0,0,1,0,1
453,1,0,0,1,0,0,0,0,0,0,0,0
454,1,0,0,1,0,0,0,1,0,1,0,1
455,0,0,1,0,0,0,0,0,0,0,0,0
456,1,0,0,1,0,0,1,0,0,0,0,1
457,1,0,1,0,0,0,0,1,0,1,0,1
458,1,0,1,0,0,0,0,0,0,1,0,0
459,1,0,0,1,0,0,0,1,0,0,0,1
460,0,0,1,0,0,0,0,0,0,0,0,0
461,0,0,1,0,0,0,0,1,0,0,0,0
462,1,0,0,1,0,0,0,0,0,0,0,0
463,0,0,0,1,0,0,0,1,0,1,0,0
464,1,0,0,1,0,0,1,0,0,1,0,1
465,0,0,0,1,0,0,0,1,0,0,0,0
466,1,0,0,1,0,0,0,1,0,0,0,1
467,0,0,1,0,0,0,0,1,0,0,0,0
468,1,0,0,1,0,0,1,0,0,0,0,1
469,1,0,1,0,0,0,0,0,0,0,0,0
